"Locale.","Charter","Magnet.","Title.I.School.","Students.","Teachers.","Free.Lunch.","Reduced.Lunch.","grade","numOfStud2012","passing2012","meanScale2012","lev1Perc2012","lev5Perc2012","numOfStud2013","passing2013","meanScale2013","lev1Perc2013","lev5Perc2013","numOfStud2014","passing2014","meanScale2014","lev1Perc2014","lev5Perc2014","Workbooks.Ordered","Workbooks","Total.Wall.Posts","Unique.wall.posts","unique.log.ins","total.log.ins","teacher.unique.log.ins","teacher.total.log.ins","student.unique.log.ins","student.total.log.ins","total.views","unique.viewers","teacher.total.views","teacher.unique.viewers","student.total.views","student.unique.viewers","Total.Test.Yourself","Unique.Users.who.took.test.yourself","training","integrated","integrated.or.training","test.yourselfs.during.challene","users.with.test.yourself.during.challenge","is.AN","loginsPerExaminee","perc.free.lunch","perc.reduced.lunch","SeniorHigh","middleHigh","logLoginsPerExaminee"
"Suburb: Midsize","No","No","No",1650,80,403,106,9,281,73,409,4,6,367,66,406,8,6,332,70,407,7,6,440,"yes",124,15,97,560,8,198,89,362,1211,51,593,8,618,43,18,10,1,1,1,5,5,1,1.68975903614458,0.244242424242424,0.0642424242424242,0,0,0.524585936606208
"City: Large","No","Yes","Yes",638,53,426,28,9,84,49,398,8,1,77,47,391,21,0,75,48,392,20,1,0,"no",0,0,20,221,2,14,18,207,441,17,12,2,429,15,8,4,0,1,1,3,2,0,2.96,0.667711598746082,0.0438871473354232,0,0,1.08518926833597
"City: Large","Yes","No","Yes",401,NA,114,3,9,58,41,388,24,0,56,43,393,18,0,48,35,386,21,0,0,"no",0,0,12,107,1,1,11,106,137,9,0,0,137,9,33,6,1,1,1,10,4,0,2.25,0.28428927680798,0.00748129675810474,0,0,0.810930216216329
"City: Midsize","No","No","Yes",293,17,236,26,9,40,18,377,38,3,39,28,383,28,0,19,26,383,32,0,260,"yes",1,1,34,102,2,18,32,84,138,15,73,2,65,13,120,22,1,1,1,115,20,1,5.42105263157895,0.805460750853242,0.0887372013651877,0,0,1.6902900090632
"Rural: Fringe","No","No","No",1684,78,135,51,9,232,72,408,8,8,275,82,414,5,11,281,68,405,8,4,0,"no",3,1,3,11,0,0,3,11,21,1,0,0,21,1,12,1,0,1,1,4,1,0,0.0427046263345196,0.080166270783848,0.0302850356294537,1,0,-3.15344801954575
"Suburb: Large","No","No","Yes",2477,133,1058,228,9,174,34,384,29,3,302,30,384,29,0,279,33,386,26,0,300,"yes",3,1,68,201,5,37,63,164,395,56,51,5,344,51,7,5,0,1,1,0,0,1,0.724014336917563,0.427129592248688,0.0920468308437626,0,0,-0.322944084420161
"Rural: Distant","No","No","Yes",604,49,332,49,9,52,40,389,19,0,48,73,412,2,17,32,81,414,3,6,160,"yes",66,9,26,126,3,62,23,64,228,19,124,3,104,16,8,5,1,1,1,4,2,1,3.96875,0.549668874172185,0.0811258278145695,0,0,1.37845118365886
"Suburb: Large","No","No","Yes",2045,95,1328,265,9,419,35,385,26,1,419,49,394,18,2,424,51,396,20,4,0,"no",0,0,76,254,5,29,71,225,513,52,43,3,470,49,74,24,1,1,1,1,1,0,0.601415094339623,0.649388753056235,0.12958435207824,1,0,-0.508469910073532
"City: Midsize","No","Yes","Yes",1041,75,454,68,9,257,48,393,20,2,237,41,388,26,1,270,55,399,11,0,0,"no",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0.43611911623439,0.0653218059558117,0,0,-4.90527477843843
"Suburb: Large","No","No","Yes",1269,71,749,123,9,206,39,389,22,1,246,39,391,20,1,217,37,386,28,0,200,"yes",0,0,43,299,1,18,42,281,874,36,40,1,834,35,100,26,1,1,1,58,19,1,1.38248847926267,0.590228526398739,0.0969267139479905,0,0,0.323885121115742
