"","percentile","logLoginsPerExaminee","meanScale2014","SE","lowerCL","upperCL"
"1%",1,-5.41504574674305,391.131007361652,9.81513900963665,371.893334902764,410.36867982054
"2%",2,-5.29685774089263,391.361488038359,9.37764126979423,372.981311149563,409.741664927156
"3%",3,-5.11657639214716,391.705981879872,8.72922162068641,374.596707503326,408.815256256417
"4%",4,-4.86980398176891,392.163672373087,7.87883627830599,376.721153267607,407.606191478567
"5%",5,-4.590882487906,392.661707324516,6.96964332342231,379.001206410608,406.322208238423
"6%",6,-3.98020267344507,393.680678039181,5.1737368369634,383.540153838733,403.821202239629
"7%",7,-3.652831720069,394.186539181326,4.32306532533567,385.713331143668,402.659747218984
"8%",8,-3.41668662673518,394.533936046815,3.75934183627905,387.165626047708,401.902246045922
"9%",9,-3.14369489266518,394.917260283317,3.16139417186695,388.720927706458,401.113592860177
"10%",10,-2.90136373100387,395.241109589664,2.68083296236101,389.986676983436,400.495542195891
"11%",11,-2.79139428686309,395.382976897678,2.4790362280855,390.52406589063,400.241887904725
"12%",12,-2.62024148333358,395.597446991109,2.18617116522607,391.312551507266,399.882342474952
"13%",13,-2.48330078185167,395.763497802012,1.97132605967842,391.899698725042,399.627296878981
"14%",14,-2.2784233259357,396.002717377083,1.68447241649231,392.701151440758,399.304283313408
"15%",15,-2.02667484417944,396.281547138606,1.39401375423702,393.549280180301,399.01381409691
"16%",16,-1.84076228306331,396.476758456381,1.22775031961296,394.070367829939,398.883149082822
"17%",17,-1.65077973484804,396.666851880117,1.10291058523857,394.505147133049,398.828556627184
"18%",18,-1.50324019102411,396.807928712254,1.03724555934001,394.774927415948,398.840930008561
"19%",19,-1.46402100682224,396.84446673495,1.02416310143726,394.837107056133,398.851826413767
"20%",20,-1.2458789483463,397.040312801966,0.980928097356628,395.117693731147,398.962931872785
"21%",21,-1.10020740070505,397.164125898119,0.974764253468954,395.25358796132,399.074663834919
"22%",22,-1.01852837827578,397.231106665016,0.977010346213263,395.316166386438,399.146046943594
"23%",23,-0.921570272758534,397.308339261842,0.98344821044123,395.380780769377,399.235897754306
"24%",24,-0.85593240898015,397.359220007539,0.98945682538974,395.419884629775,399.298555385303
"25%",25,-0.800157878013698,397.401564421683,0.995256929268678,395.450860840316,399.352268003049
"26%",26,-0.754147455081856,397.435879982465,1.0003505351545,395.475192933562,399.396567031368
"27%",27,-0.696343085154192,397.478202549162,1.00695355159346,395.504573588039,399.451831510285
"28%",28,-0.640913232309882,397.517961150648,1.01331526405314,395.531863233104,399.504059068192
"29%",29,-0.581137206850994,397.559931528702,1.02001085250768,395.560710257787,399.559152799617
"30%",30,-0.553178228678824,397.579239703279,1.02303091383388,395.574099112165,399.584380294394
"31%",31,-0.49552023691415,397.618408512841,1.02893666819477,395.60169264318,399.635124382503
"32%",32,-0.476749712455229,397.630971233345,1.03074696056418,395.610707190639,399.651235276051
"33%",33,-0.43042569155858,397.661578379634,1.03493611977689,395.633103584872,399.690053174397
"34%",34,-0.372964054945558,397.698760083241,1.03950634339964,395.661327650177,399.736192516304
"35%",35,-0.331711301428857,397.724917971936,1.04230474282724,395.682000675994,399.767835267877
"36%",36,-0.31473007917787,397.735555520245,1.04332985678658,395.690629000943,399.780482039547
"37%",37,-0.288577116906022,397.751790169892,1.04475672112748,395.704066996482,399.799513343301
"38%",38,-0.20036643223591,397.805220955878,1.04812157192483,395.750902674905,399.859539236851
"39%",39,-0.146943282486424,397.836585252366,1.04899964841135,395.78054594148,399.892624563253
"40%",40,-0.111192187223046,397.857155171805,1.0490711184098,395.800975779722,399.913334563888
"41%",41,-0.0831936444113341,397.873029817704,1.04882989762507,395.817323218359,399.928736417049
"42%",42,-0.0439832057865961,397.89491483491,1.04804447781774,395.840747658387,399.949082011433
"43%",43,0.0576711054396401,397.949769308978,1.04351851327741,395.904473022955,399.995065595002
"44%",44,0.0792029325704335,397.961039450967,1.04209184414035,395.918539436452,400.003539465483
"45%",45,0.11331372605985,397.978644044044,1.03949452382336,395.941234777351,400.016053310738
"46%",46,0.162781502505537,398.003630668894,1.03499379599589,395.975042828742,400.032218509046
"47%",47,0.232403025394508,398.037706778397,1.02719803830077,396.024398623327,400.051014933466
"48%",48,0.253963822115158,398.048001125535,1.02444173736403,396.040095320302,400.055906930769
"49%",49,0.267528413646713,398.054414972314,1.02262590907776,396.050068190522,400.058761754106
"50%",50,0.296571298621047,398.067984801982,1.01852808346703,396.071669758387,400.064299845577
"51%",51,0.314582500411844,398.07628879865,1.01584467309923,396.085233239375,400.067344357924
"52%",52,0.355205523057769,398.094704651193,1.00940104436197,396.116278604243,400.073130698142
"53%",53,0.410395462164044,398.11902879929,0.99980550474481,396.15941000999,400.07864758859
"54%",54,0.446068163315069,398.134324754874,0.993110653416469,396.187827874178,400.08082163557
"55%",55,0.49034320806873,398.152843777536,0.984294143222202,396.22362725682,400.082060298251
"56%",56,0.523676237473879,398.166445859111,0.97730780094685,396.250922569256,400.081969148967
"57%",57,0.565113308079342,398.182947480505,0.968236794148331,396.285203363974,400.080691597035
"58%",58,0.612875441102,398.201407682971,0.957301226890904,396.325097278265,400.077718087677
"59%",59,0.643258017140745,398.212838405162,0.950108573344632,396.350625601406,400.075051208917
"60%",60,0.666355679805684,398.221365904113,0.944532824096772,396.370081568883,400.072650239342
"61%",61,0.677790485620094,398.225535627305,0.941741430409709,396.379722423702,400.071348830908
"62%",62,0.709408287165817,398.236886104907,0.933928775596025,396.406385704739,400.067386505075
"63%",63,0.749432109030185,398.250877178206,0.923876484762634,396.440079268071,400.061675088341
"64%",64,0.784087447409252,398.262651251098,0.915070951177129,396.469112186791,400.056190315405
"65%",65,0.802022811607297,398.268620707799,0.910492276166707,396.484055846512,400.053185569085
"66%",66,0.85657244639544,398.286256565605,0.896558845867317,396.529001227705,400.043511903505
"67%",67,0.933467609735317,398.309787503559,0.877227121606318,396.590422345211,400.029152661908
"68%",68,0.97998929321843,398.323268693494,0.865955927903299,396.625995074804,400.020542312185
"69%",69,1.01064776486017,398.331841817729,0.858802171951515,396.648589560704,400.015094074754
"70%",70,1.08401715218908,398.351354599098,0.842915575828358,396.699240070475,400.003469127722
"71%",71,1.1333693928733,398.363683467429,0.833515340686802,396.729993399683,399.997373535176
"72%",72,1.18176160914129,398.37515046623,0.825590568132916,396.75699295269,399.993307979771
"73%",73,1.20948056636027,398.38144129304,0.821727805415955,396.770854794424,399.992027791655
"74%",74,1.25911211745835,398.392200327868,0.816231715560807,396.792386165368,399.992014490367
"75%",75,1.28126625958979,398.396793717537,0.814430021222602,396.800510875941,399.993076559133
"76%",76,1.32089553783041,398.404688373885,0.812320007054104,396.812541160059,399.996835587711
"77%",77,1.36551513750191,398.413082807233,0.811812319280525,396.821930661443,400.004234953023
"78%",78,1.3931997974739,398.41802797211,0.812579387814988,396.825372371993,400.010683572227
"79%",79,1.43128762148145,398.424501954564,0.815092241708087,396.826921160816,400.022082748312
"80%",80,1.45765297832808,398.428759933597,0.817875659210601,396.825723641544,400.03179622565
"81%",81,1.50167453413946,398.435461888257,0.82453621056069,396.819370915558,400.051552860956
"82%",82,1.52335885057206,398.438575793356,0.828781615496233,396.814163826983,400.062987759728
"83%",83,1.53459054364827,398.440140064936,0.831238511731455,396.810912581942,400.06936754793
"84%",84,1.5602462995233,398.443588763056,0.837524203105295,396.80204132497,400.085136201143
"85%",85,1.63908347498272,398.453102860678,0.862892265812203,396.761834019686,400.14437170167
