"","percentile","logLoginsPerExaminee","meanScale2014","SE","lowerCL","upperCL"
"1%",1,-5.41504574674305,395.008187838168,1.7312047444697,391.615026539008,398.401349137329
"2%",2,-5.29685774089263,395.060729554737,1.69626695210037,391.73604632862,398.385412780853
"3%",3,-5.11657639214716,395.140875517605,1.64311728645269,391.920365636157,398.361385399052
"4%",4,-4.86980398176891,395.250580778724,1.57067519918533,392.172057388321,398.329104169127
"5%",5,-4.590882487906,395.374578251817,1.48928702685391,392.455575679183,398.29358082445
"6%",6,-3.98020267344507,395.646062363039,1.31337322656705,393.071850838968,398.220273887111
"7%",7,-3.652831720069,395.791598551092,1.22072896348917,393.398969782653,398.18422731953
"8%",8,-3.41668662673518,395.896579327048,1.15482762030969,393.633117191241,398.160041462855
"9%",9,-3.14369489266518,396.017940663284,1.07982048556579,393.901492511575,398.134388814993
"10%",10,-2.90136373100387,396.125671520743,1.01451042486842,394.137231088001,398.114111953485
"11%",11,-2.79139428686309,396.174559589576,0.985335448767474,394.243302109992,398.10581706916
"12%",12,-2.62024148333358,396.250647362004,0.940587973831121,394.407094933295,398.094199790714
"13%",13,-2.48330078185167,396.311525785937,0.905433220798927,394.536876673171,398.086174898703
"14%",14,-2.2784233259357,396.402606206006,0.854079461925013,394.728610460633,398.076601951379
"15%",15,-2.02667484417944,396.514523631804,0.793395589874826,394.959468275649,398.069578987959
"16%",16,-1.84076228306331,396.597173009145,0.750646781916191,395.125905316589,398.0684407017
"17%",17,-1.65077973484804,396.681631741902,0.709145081221345,395.291707382708,398.071556101096
"18%",18,-1.50324019102411,396.74722199227,0.678694469617777,395.416980831819,398.077463152721
"19%",19,-1.46402100682224,396.76465729161,0.670892497276149,395.449707996949,398.079606586271
"20%",20,-1.2458789483463,396.861634629755,0.630023186674621,395.626789183873,398.096480075637
"21%",21,-1.10020740070505,396.926394442844,0.605409834924237,395.739791166393,398.112997719295
"22%",22,-1.01852837827578,396.962705708232,0.592669118369622,395.801074236227,398.124337180236
"23%",23,-0.921570272758534,397.005809450125,0.578621143367466,395.871712009125,398.139906891125
"24%",24,-0.85593240898015,397.034989450329,0.569815434992897,395.918151197743,398.151827702915
"25%",25,-0.800157878013698,397.059784602567,0.56280337642195,395.95668998478,398.162879220354
"26%",26,-0.754147455081856,397.080239018254,0.557356564944338,395.987820150963,398.172657885545
"27%",27,-0.696343085154192,397.105936556674,0.550961099306232,396.026052802034,398.185820311315
"28%",28,-0.640913232309882,397.130578478641,0.545311518465104,396.061767902449,398.199389054832
"29%",29,-0.581137206850994,397.15715253719,0.539766394375432,396.099210404214,398.215094670165
"30%",30,-0.553178228678824,397.169581993936,0.537372649777684,396.116331600372,398.222832387501
"31%",31,-0.49552023691415,397.19521445841,0.532847820818129,396.150832729607,398.239596187214
"32%",32,-0.476749712455229,397.203559091767,0.531496244257411,396.161826453022,398.245291730511
"33%",33,-0.43042569155858,397.224152920715,0.52842031079372,396.18844911156,398.259856729871
"34%",34,-0.372964054945558,397.249698093448,0.52512608775246,396.220450961454,398.278945225443
"35%",35,-0.331711301428857,397.268037437338,0.523122715868279,396.242716914237,398.29335796044
"36%",36,-0.31473007917787,397.275586617647,0.522386842140743,396.251708407051,398.299464828243
"37%",37,-0.288577116906022,397.287213191099,0.521355526932364,396.265356358311,398.309070023886
"38%",38,-0.20036643223591,397.326428175385,0.518797649828102,396.309584781722,398.343271569048
"39%",39,-0.146943282486424,397.350177996461,0.517945234405541,396.335005337026,398.365350655896
"40%",40,-0.111192187223046,397.366071520519,0.517670194391446,396.351437939512,398.380705101526
"41%",41,-0.0831936444113341,397.37851856614,0.517620513746211,396.363982359198,398.393054773083
"42%",42,-0.0439832057865961,397.395949977542,0.517795689193654,396.381070426723,398.410829528362
